The following is a list of third-party software components and their licenses.

SOFTWARE COMPONENT					LICENSE FILE
getopt.dll							lgpl-2.0.txt
libiconv.dll						lgpl-2.0.txt
libimobiledevice.dll				lgpl-2.1.txt
libxml2.dll							libxml2.txt
zlib.dll							zlib.txt
libeay.dll							openssl.txt
libssl.dll							openssl.txt
msvcr110.dll						https://www.visualstudio.com/en-us/mt639504
vcruntime140.dll					https://www.visualstudio.com/en-us/downloads/2015-redistribution-vs.aspx
idevicebackup.exe					gpl-2.0.txt
idevicebackup2.exe					gpl-2.0.txt
idevicecrashreport.exe				gpl-2.0.txt
idevicedate.exe						gpl-2.0.txt
idevicedebug.exe					gpl-2.0.txt
idevicedebugserverproxy.exe			gpl-2.0.txt
idevicediagnostics.exe				gpl-2.0.txt
ideviceenterrecovery.exe			gpl-2.0.txt
ideviceimagemounter.exe				gpl-2.0.txt
ideviceinfo.exe						gpl-2.0.txt
idevicename.exe						gpl-2.0.txt
idevicenotificationproxy.exe		gpl-2.0.txt
idevicepair.exe						gpl-2.0.txt
ideviceprovision.exe				gpl-2.0.txt
idevicescreenshot.exe				gpl-2.0.txt
idevicesyslog.exe					gpl-2.0.txt
idevice_id.exe						gpl-2.0.txt
iproxy.exe							gpl-2.0.txt
